County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,GMC Sierra EV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Bastrop,,,,,,2.0,2.0,,2.0,,2.0,,1.0,2.0,2.0,,3.0,6.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,,,,5.0,2.0,9.0,26.0,,,15.0,9.0,,,,,3.0,,1.0,7.0,9.0,3.0,24.0,,11.0,36.0,,,,1.0,,1.0,,,,,,,,4.0,8.0,,,1.0,1.0,,,,,,,,3.0,15.0,,6.0,3.0,11.0,5.0,,1.0,3.0,,,,,1.0,,1.0,,,2.0,,,,,2.0,,,1.0,,,,,,,,,1.0,1.0,,,,,17.0,,,,3.0,,,4.0,,,,2.0,8.0,,,,,,,1.0,16.0,202.0,40.0,22.0,188.0,,,4.0,2.0,15.0,,6.0,,12.0,1.0,,2.0,1.0,,,2.0,5.0,1.0,,,,816.0
Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bee,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,6.0,,,,,,,,,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,1.0,10.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,41.0
Bell,1.0,,,,,2.0,6.0,,1.0,,4.0,,,14.0,25.0,2.0,3.0,14.0,1.0,7.0,10.0,16.0,3.0,2.0,6.0,6.0,,,,,1.0,1.0,26.0,8.0,16.0,33.0,1.0,3.0,73.0,57.0,,2.0,,,8.0,,,20.0,5.0,6.0,27.0,2.0,32.0,60.0,,1.0,,,5.0,3.0,,,1.0,1.0,,,1.0,11.0,20.0,16.0,1.0,1.0,5.0,,3.0,2.0,10.0,,,1.0,15.0,76.0,,20.0,9.0,7.0,9.0,2.0,7.0,1.0,8.0,,3.0,1.0,,5.0,8.0,,3.0,15.0,,,,3.0,6.0,3.0,7.0,4.0,,1.0,4.0,,1.0,,,,2.0,1.0,15.0,1.0,,32.0,28.0,,,,7.0,,1.0,1.0,,,,8.0,9.0,,,1.0,,,1.0,4.0,17.0,473.0,108.0,52.0,391.0,,,6.0,5.0,37.0,,11.0,,26.0,3.0,6.0,7.0,1.0,,3.0,5.0,14.0,16.0,,,,2096.0
Bexar,6.0,18.0,5.0,2.0,13.0,43.0,89.0,3.0,56.0,8.0,112.0,69.0,45.0,180.0,148.0,10.0,20.0,183.0,8.0,59.0,100.0,206.0,37.0,8.0,33.0,74.0,,,1.0,,5.0,21.0,176.0,47.0,365.0,528.0,120.0,17.0,364.0,376.0,,3.0,,3.0,23.0,,13.0,96.0,48.0,68.0,233.0,11.0,150.0,488.0,,1.0,,6.0,32.0,37.0,,11.0,13.0,2.0,8.0,,,76.0,349.0,67.0,13.0,12.0,112.0,5.0,7.0,28.0,,2.0,2.0,12.0,352.0,529.0,2.0,371.0,36.0,597.0,40.0,3.0,43.0,20.0,13.0,21.0,30.0,46.0,3.0,59.0,36.0,,34.0,41.0,,,5.0,6.0,42.0,25.0,35.0,66.0,4.0,8.0,29.0,,4.0,,1.0,,7.0,35.0,53.0,7.0,,84.0,376.0,,,,394.0,2.0,50.0,36.0,,93.0,60.0,120.0,103.0,2.0,,21.0,,,5.0,29.0,186.0,5050.0,948.0,608.0,4287.0,1.0,,93.0,37.0,268.0,2.0,149.0,,231.0,18.0,92.0,20.0,4.0,1.0,8.0,284.0,78.0,122.0,,,9.0,21960.0
Blanco,,,,,,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,3.0,5.0,,,6.0,1.0,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,1.0,,4.0,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,2.0,3.0,,,,,,,1.0,2.0,18.0,4.0,4.0,23.0,,,,1.0,1.0,,,,2.0,,1.0,,,,,,3.0,,,,,109.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bosque,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,4.0,1.0,,,,,1.0,,,,,,1.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,2.0,6.0,2.0,,6.0,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,47.0
Bowie,,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,4.0,1.0,7.0,,,7.0,3.0,,,,,,,1.0,1.0,1.0,3.0,4.0,,5.0,6.0,,,,,1.0,1.0,,,,,,,,2.0,4.0,,,1.0,,,,,,,,,4.0,16.0,,3.0,2.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,3.0,5.0,,,,,,,,,,,3.0,1.0,,,,,,,1.0,4.0,45.0,9.0,7.0,26.0,,,,2.0,3.0,,5.0,,2.0,,,,,,,,2.0,,,,,213.0
Brazoria,3.0,1.0,2.0,,2.0,7.0,7.0,,15.0,1.0,20.0,9.0,9.0,10.0,19.0,4.0,2.0,24.0,2.0,9.0,6.0,38.0,5.0,8.0,12.0,15.0,,,1.0,,2.0,1.0,66.0,10.0,31.0,56.0,,2.0,46.0,40.0,,,,,3.0,,3.0,8.0,9.0,9.0,52.0,1.0,31.0,97.0,,,,,4.0,6.0,,,3.0,1.0,,,,19.0,52.0,12.0,1.0,3.0,6.0,1.0,1.0,1.0,,1.0,,2.0,22.0,83.0,2.0,26.0,12.0,10.0,6.0,2.0,7.0,3.0,1.0,2.0,4.0,1.0,,8.0,3.0,,4.0,11.0,,,,3.0,11.0,9.0,21.0,27.0,2.0,1.0,6.0,,3.0,1.0,,,,2.0,5.0,,,15.0,44.0,,,,8.0,,5.0,4.0,,18.0,20.0,14.0,17.0,,,1.0,,,,1.0,28.0,820.0,177.0,115.0,1003.0,,,12.0,6.0,26.0,,17.0,,57.0,1.0,6.0,5.0,1.0,,2.0,8.0,8.0,16.0,,,,3564.0
Brazos,1.0,1.0,1.0,,,,1.0,,1.0,,6.0,1.0,2.0,10.0,14.0,,4.0,13.0,1.0,3.0,,11.0,1.0,,,9.0,,,,,,1.0,6.0,,16.0,20.0,1.0,1.0,43.0,40.0,,,,,3.0,1.0,1.0,13.0,7.0,5.0,34.0,,19.0,46.0,,,,,2.0,2.0,,,1.0,1.0,,,,8.0,23.0,21.0,,3.0,6.0,1.0,1.0,,,,,,12.0,43.0,,23.0,7.0,6.0,4.0,3.0,3.0,,8.0,2.0,1.0,,,5.0,1.0,,,10.0,,,,,4.0,1.0,6.0,10.0,1.0,1.0,4.0,,,,1.0,,1.0,4.0,5.0,,,9.0,19.0,,,,5.0,,2.0,,,2.0,,10.0,10.0,,,1.0,,,2.0,4.0,11.0,278.0,61.0,39.0,252.0,,,5.0,2.0,25.0,,13.0,,11.0,,2.0,5.0,,,,1.0,10.0,8.0,,,,1359.0
Brewster,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,24.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0
Brown,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,4.0,2.0,,,,,,,,1.0,,,3.0,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,7.0,,1.0,7.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,48.0
Burleson,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,11.0,3.0,1.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,38.0
Burnet,,,,,,,1.0,,,,,4.0,,1.0,,,,3.0,,1.0,2.0,2.0,,,,,,,,,,1.0,7.0,2.0,3.0,6.0,1.0,2.0,10.0,4.0,,,,,1.0,,1.0,5.0,,3.0,15.0,,5.0,8.0,,,,1.0,,1.0,,,,,,,,3.0,3.0,4.0,,,1.0,,,,,,,,,14.0,1.0,,,,,,2.0,,,,,,,3.0,4.0,,,1.0,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,3.0,,,1.0,7.0,,,,1.0,,2.0,1.0,,1.0,,2.0,3.0,,,,,,1.0,,5.0,73.0,37.0,17.0,64.0,,,,1.0,12.0,,2.0,,6.0,,2.0,1.0,1.0,,,,2.0,5.0,,,,381.0
Caldwell,,,,,,,,,,,1.0,,,,2.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,2.0,1.0,1.0,6.0,,,8.0,3.0,,,,,2.0,,,1.0,,1.0,2.0,,5.0,10.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,3.0,,4.0,,1.0,1.0,,2.0,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,1.0,1.0,,,,,,,,5.0,26.0,7.0,2.0,32.0,,,,,2.0,,2.0,,,1.0,,,,,,,,2.0,,,,159.0
Calhoun,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,12.0,1.0,,10.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,41.0
Callahan,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,31.0
Cameron,2.0,1.0,,,,1.0,3.0,,,,,,4.0,8.0,13.0,1.0,1.0,11.0,3.0,3.0,10.0,13.0,1.0,1.0,6.0,2.0,,1.0,,,1.0,2.0,47.0,5.0,17.0,20.0,1.0,1.0,26.0,18.0,,1.0,,,,,1.0,5.0,11.0,5.0,33.0,1.0,6.0,68.0,,,,1.0,3.0,9.0,,1.0,,,,,,5.0,14.0,20.0,1.0,,5.0,,,,,,,1.0,17.0,83.0,,8.0,1.0,3.0,8.0,,1.0,1.0,2.0,3.0,2.0,,,3.0,1.0,,2.0,3.0,,1.0,,,3.0,,4.0,4.0,,,3.0,,,1.0,,,,,8.0,1.0,,18.0,25.0,,,,2.0,,4.0,1.0,,6.0,,4.0,3.0,,,1.0,,,,2.0,40.0,498.0,73.0,54.0,296.0,,,9.0,,16.0,,14.0,,19.0,,1.0,,1.0,,,2.0,2.0,5.0,,,,1673.0
Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,6.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,22.0
Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,10.0
Cass,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,3.0,,,3.0,5.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,8.0,4.0,,7.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,58.0
Castro,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0
