County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Cherokee,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,2.0,1.0,,4.0,,,8.0,6.0,,,,,1.0,,,,,,3.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,16.0,5.0,4.0,12.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,89.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,18.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0
Collin,3.0,9.0,6.0,1.0,16.0,98.0,75.0,2.0,82.0,6.0,173.0,64.0,61.0,132.0,172.0,12.0,28.0,270.0,6.0,60.0,78.0,264.0,41.0,26.0,39.0,183.0,,2.0,2.0,,3.0,5.0,209.0,17.0,188.0,230.0,3.0,11.0,324.0,324.0,,2.0,,,43.0,5.0,30.0,56.0,35.0,36.0,179.0,14.0,157.0,525.0,,1.0,,7.0,26.0,33.0,2.0,30.0,17.0,,,2.0,124.0,156.0,89.0,7.0,9.0,29.0,5.0,5.0,3.0,,,2.0,25.0,111.0,357.0,3.0,174.0,57.0,73.0,40.0,2.0,41.0,11.0,29.0,12.0,39.0,31.0,3.0,54.0,13.0,,100.0,62.0,1.0,,7.0,9.0,90.0,54.0,84.0,170.0,3.0,21.0,51.0,4.0,7.0,1.0,1.0,,11.0,30.0,55.0,9.0,,95.0,384.0,,,,84.0,,92.0,54.0,,217.0,290.0,256.0,136.0,2.0,,11.0,,,4.0,48.0,114.0,6796.0,1529.0,1287.0,9859.0,6.0,,37.0,55.0,226.0,2.0,126.0,4.0,315.0,16.0,36.0,29.0,3.0,,3.0,62.0,119.0,225.0,,,,29221.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,7.0,,3.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,10.0,4.0,3.0,11.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,67.0
Comal,,4.0,,,3.0,10.0,14.0,,16.0,,14.0,11.0,6.0,13.0,14.0,1.0,1.0,30.0,,11.0,6.0,13.0,4.0,,1.0,2.0,,,,,2.0,2.0,18.0,1.0,18.0,40.0,,2.0,40.0,48.0,,,,,1.0,1.0,2.0,12.0,,7.0,53.0,,23.0,60.0,,,,2.0,3.0,8.0,,,,,,,7.0,20.0,6.0,1.0,3.0,8.0,2.0,1.0,,,,,2.0,12.0,68.0,,12.0,3.0,4.0,5.0,,5.0,1.0,7.0,2.0,4.0,2.0,,15.0,6.0,,4.0,9.0,,,1.0,1.0,4.0,,2.0,9.0,,1.0,1.0,,1.0,,,,3.0,6.0,7.0,1.0,,18.0,16.0,,,,11.0,,5.0,7.0,,7.0,,32.0,17.0,,,5.0,,,,5.0,22.0,493.0,145.0,79.0,491.0,1.0,,3.0,6.0,31.0,,23.0,,16.0,1.0,4.0,2.0,1.0,,1.0,9.0,11.0,18.0,,,,2243.0
Comanche,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,19.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Cooke,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,4.0,1.0,1.0,2.0,,,5.0,2.0,,,,,1.0,,,1.0,,4.0,3.0,,6.0,7.0,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,20.0,11.0,7.0,18.0,,,,,3.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,133.0
Coryell,2.0,,,,,,,,,,3.0,,,8.0,2.0,,,2.0,,,4.0,,,,,,,,,,,,1.0,1.0,4.0,1.0,,1.0,15.0,5.0,,,,,,,,2.0,1.0,2.0,2.0,,9.0,8.0,,,,3.0,1.0,,,,,,,,3.0,4.0,2.0,,,1.0,,,,,,,1.0,4.0,6.0,,3.0,,4.0,,,2.0,,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,2.0,8.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,55.0,7.0,4.0,29.0,,,1.0,2.0,5.0,,,,4.0,,,1.0,,,,,1.0,2.0,,,,238.0
Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Crockett,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,16.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,18.0
Dallas,9.0,32.0,4.0,,26.0,116.0,153.0,4.0,120.0,5.0,196.0,67.0,70.0,163.0,222.0,18.0,43.0,341.0,14.0,112.0,121.0,284.0,70.0,39.0,55.0,197.0,,7.0,3.0,,10.0,25.0,317.0,20.0,275.0,559.0,25.0,10.0,445.0,365.0,,1.0,,3.0,70.0,10.0,35.0,82.0,118.0,77.0,200.0,8.0,176.0,905.0,,,1.0,6.0,36.0,39.0,3.0,56.0,18.0,,2.0,5.0,101.0,289.0,78.0,6.0,8.0,114.0,6.0,9.0,5.0,,1.0,1.0,41.0,650.0,884.0,3.0,213.0,44.0,196.0,54.0,10.0,30.0,16.0,25.0,41.0,35.0,44.0,1.0,45.0,23.0,,136.0,45.0,,1.0,5.0,13.0,120.0,77.0,124.0,253.0,7.0,18.0,45.0,8.0,4.0,1.0,7.0,,12.0,53.0,68.0,6.0,,113.0,438.0,,5.0,1.0,132.0,3.0,167.0,93.0,2.0,409.0,97.0,455.0,182.0,4.0,,27.0,2.0,,3.0,43.0,168.0,6692.0,2054.0,1146.0,6463.0,5.0,,56.0,49.0,259.0,,135.0,2.0,285.0,22.0,47.0,37.0,14.0,,6.0,116.0,154.0,294.0,,2.0,,30551.0
Dawson,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,13.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,21.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,14.0
Denton,5.0,13.0,4.0,1.0,13.0,60.0,66.0,,43.0,2.0,109.0,24.0,27.0,83.0,117.0,9.0,16.0,193.0,4.0,49.0,56.0,207.0,39.0,26.0,33.0,152.0,,1.0,2.0,,3.0,9.0,174.0,22.0,132.0,232.0,3.0,7.0,243.0,219.0,,3.0,,3.0,37.0,1.0,24.0,57.0,25.0,35.0,155.0,4.0,149.0,469.0,,,,4.0,21.0,41.0,1.0,16.0,5.0,,,,56.0,164.0,41.0,1.0,4.0,20.0,6.0,5.0,6.0,,,2.0,28.0,81.0,321.0,4.0,124.0,48.0,46.0,30.0,3.0,34.0,7.0,16.0,6.0,6.0,23.0,,45.0,12.0,,56.0,51.0,1.0,,4.0,6.0,70.0,37.0,63.0,114.0,2.0,11.0,20.0,7.0,5.0,,1.0,,6.0,28.0,60.0,6.0,,47.0,318.0,1.0,,1.0,78.0,,74.0,29.0,,160.0,216.0,191.0,140.0,4.0,,10.0,,,1.0,25.0,102.0,4676.0,1106.0,891.0,6551.0,2.0,,33.0,25.0,142.0,4.0,92.0,,221.0,11.0,25.0,26.0,8.0,,3.0,42.0,92.0,166.0,,,,20648.0
Dewitt,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,1.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,26.0
Dickens,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Duval,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,5.0,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,7.0,1.0,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,30.0
Ector,,,,,,,,,1.0,,,,,8.0,6.0,,,4.0,3.0,1.0,1.0,,,,4.0,2.0,,,,,,,6.0,2.0,5.0,2.0,,,7.0,4.0,,,,,,,,2.0,1.0,2.0,12.0,,,16.0,,,,,3.0,3.0,,,,,,,3.0,8.0,5.0,,,1.0,,,,,,,,11.0,11.0,2.0,4.0,,,1.0,,,,1.0,1.0,,,,6.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,2.0,,,1.0,,,,3.0,,,,2.0,,,,,,,,,3.0,,,1.0,,,,,,,,6.0,54.0,18.0,11.0,46.0,,,,1.0,6.0,,1.0,,3.0,,,,,,,,1.0,,,,,316.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0
El Paso,,1.0,,,6.0,14.0,15.0,,9.0,1.0,22.0,13.0,15.0,39.0,38.0,4.0,6.0,41.0,8.0,23.0,22.0,58.0,9.0,4.0,16.0,20.0,,,,,,9.0,61.0,13.0,44.0,77.0,3.0,10.0,103.0,81.0,,,,,15.0,1.0,2.0,22.0,46.0,16.0,75.0,3.0,62.0,164.0,,,,2.0,7.0,13.0,1.0,2.0,,,1.0,4.0,18.0,59.0,43.0,3.0,4.0,11.0,2.0,2.0,3.0,,,,7.0,97.0,205.0,,44.0,14.0,21.0,16.0,5.0,9.0,3.0,6.0,5.0,7.0,10.0,,15.0,3.0,,7.0,20.0,,,5.0,3.0,8.0,2.0,9.0,14.0,,3.0,5.0,,2.0,,,,6.0,7.0,18.0,1.0,,66.0,112.0,,,,10.0,,23.0,4.0,,55.0,,19.0,17.0,,,11.0,,,4.0,15.0,41.0,1124.0,176.0,139.0,877.0,,,19.0,8.0,62.0,1.0,40.0,,108.0,9.0,13.0,7.0,2.0,,1.0,22.0,37.0,31.0,,,,4996.0
Ellis,,,,,,3.0,4.0,,1.0,,8.0,4.0,,5.0,12.0,,1.0,11.0,,2.0,3.0,15.0,4.0,,7.0,7.0,,,1.0,,,4.0,23.0,4.0,13.0,22.0,,,39.0,17.0,,,,,1.0,1.0,2.0,10.0,1.0,11.0,19.0,1.0,17.0,55.0,,1.0,,2.0,4.0,6.0,1.0,1.0,1.0,,,,3.0,10.0,2.0,,1.0,1.0,,,,,,1.0,2.0,11.0,37.0,,15.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,3.0,,,5.0,5.0,,,,1.0,5.0,5.0,4.0,12.0,,2.0,,,,,,,,4.0,4.0,,,7.0,25.0,,,,8.0,,,3.0,,10.0,,7.0,14.0,,,2.0,,,1.0,1.0,7.0,330.0,86.0,47.0,268.0,,,6.0,,18.0,1.0,7.0,,24.0,1.0,2.0,1.0,1.0,,1.0,,6.0,7.0,,,,1388.0
Erath,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,1.0,4.0,,,3.0,2.0,,,,,1.0,,,2.0,1.0,2.0,4.0,,3.0,7.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,3.0,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,14.0,5.0,2.0,11.0,,,,,3.0,,1.0,,,2.0,,,,,,,,1.0,,,,94.0
Falls,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,16.0
Fannin,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,5.0,,,6.0,1.0,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,2.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,20.0,3.0,4.0,9.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,79.0
Fayette,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,4.0,,,,2.0,,,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,14.0,1.0,1.0,18.0,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,65.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,9.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Fort Bend,8.0,7.0,4.0,1.0,17.0,57.0,37.0,1.0,58.0,,92.0,51.0,23.0,60.0,76.0,10.0,14.0,115.0,11.0,30.0,36.0,138.0,25.0,27.0,39.0,91.0,,1.0,,,1.0,11.0,170.0,11.0,87.0,101.0,1.0,6.0,105.0,142.0,,,2.0,1.0,4.0,3.0,24.0,28.0,14.0,26.0,147.0,4.0,45.0,279.0,,,,,12.0,26.0,2.0,7.0,7.0,,,,67.0,162.0,76.0,1.0,1.0,17.0,4.0,4.0,2.0,,,,14.0,51.0,214.0,2.0,90.0,43.0,42.0,16.0,2.0,16.0,7.0,7.0,9.0,6.0,37.0,2.0,36.0,14.0,,38.0,35.0,,,7.0,7.0,64.0,29.0,79.0,140.0,7.0,8.0,40.0,5.0,7.0,1.0,3.0,,3.0,13.0,28.0,,,94.0,150.0,,,1.0,44.0,,47.0,26.0,,135.0,,123.0,60.0,3.0,,7.0,,,2.0,14.0,117.0,3809.0,855.0,804.0,5779.0,1.0,,28.0,23.0,83.0,1.0,72.0,,214.0,3.0,11.0,19.0,2.0,,2.0,18.0,43.0,91.0,,,,16432.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,5.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,23.0
Freestone,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,8.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,33.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,13.0
Gains,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,4.0,5.0,,4.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,32.0
