County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity BEV,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Sorrento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0
Collin,,11.0,7.0,1.0,12.0,104.0,63.0,,47.0,,176.0,49.0,46.0,,135.0,173.0,10.0,28.0,264.0,1.0,62.0,81.0,217.0,7.0,8.0,40.0,151.0,,,1.0,5.0,10.0,74.0,,209.0,239.0,,11.0,342.0,283.0,,,,,50.0,3.0,,54.0,28.0,28.0,143.0,15.0,163.0,473.0,,1.0,,6.0,14.0,,,16.0,10.0,,,2.0,,127.0,124.0,44.0,7.0,6.0,12.0,6.0,7.0,2.0,,,,23.0,111.0,320.0,2.0,132.0,48.0,33.0,3.0,,34.0,11.0,15.0,9.0,31.0,19.0,47.0,9.0,68.0,29.0,,,6.0,9.0,48.0,35.0,45.0,122.0,,21.0,27.0,4.0,8.0,,,12.0,22.0,46.0,11.0,,44.0,390.0,,,,,47.0,,83.0,52.0,,163.0,263.0,157.0,109.0,,15.0,,,3.0,28.0,6316.0,1523.0,1180.0,7813.0,6.0,,19.0,55.0,228.0,2.0,92.0,304.0,16.0,32.0,25.0,5.0,,3.0,56.0,73.0,165.0,,,,24835.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,3.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,5.0,3.0,9.0,,,,,,,,,,,,,,,,,1.0,,,,50.0
Comal,,3.0,,,1.0,12.0,10.0,,10.0,,18.0,12.0,7.0,,12.0,11.0,1.0,1.0,23.0,,7.0,5.0,15.0,,,1.0,2.0,,,,2.0,1.0,7.0,,20.0,39.0,,2.0,43.0,37.0,,,,,3.0,2.0,,16.0,1.0,6.0,45.0,,21.0,43.0,,,,4.0,1.0,3.0,,,,,,,,7.0,9.0,4.0,1.0,3.0,6.0,2.0,,,,,,2.0,13.0,61.0,,6.0,4.0,3.0,,,4.0,1.0,3.0,2.0,3.0,2.0,16.0,4.0,3.0,3.0,,,1.0,2.0,5.0,,,6.0,,1.0,1.0,,1.0,,,2.0,6.0,6.0,,,7.0,14.0,,,,,5.0,,5.0,5.0,,4.0,,17.0,14.0,,5.0,,,1.0,3.0,433.0,132.0,68.0,370.0,1.0,,2.0,6.0,30.0,,18.0,14.0,1.0,2.0,3.0,1.0,,,8.0,11.0,12.0,,,,1832.0
Comanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,14.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
Cooke,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,2.0,1.0,,,5.0,2.0,,,,,1.0,,,1.0,,3.0,2.0,,6.0,6.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,4.0,,2.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,3.0,,,,,2.0,,,,,,,2.0,1.0,,,,,,,17.0,12.0,8.0,13.0,,,,,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,114.0
Coryell,1.0,,,,,,,,,,2.0,,,,5.0,3.0,1.0,,,,1.0,3.0,,,,,,,,,,,1.0,,4.0,3.0,,,12.0,7.0,,,,,,,,2.0,,1.0,,,9.0,4.0,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,7.0,6.0,,2.0,5.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,43.0,5.0,4.0,23.0,,,,1.0,3.0,,,1.0,,,,,,,,1.0,2.0,,,,182.0
Crockett,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,5.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,5.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,13.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,13.0
Dallas,4.0,27.0,3.0,,25.0,117.0,112.0,,67.0,,200.0,62.0,64.0,1.0,183.0,225.0,11.0,44.0,357.0,2.0,112.0,131.0,237.0,11.0,13.0,63.0,158.0,,4.0,5.0,8.0,20.0,140.0,,278.0,511.0,,9.0,458.0,296.0,,,,3.0,72.0,9.0,3.0,82.0,99.0,85.0,169.0,8.0,172.0,762.0,1.0,,1.0,8.0,18.0,6.0,2.0,32.0,8.0,,2.0,4.0,,94.0,203.0,38.0,7.0,9.0,96.0,2.0,8.0,6.0,,1.0,,39.0,219.0,432.0,3.0,172.0,136.0,45.0,11.0,,23.0,16.0,14.0,30.0,31.0,31.0,34.0,14.0,104.0,23.0,,1.0,7.0,18.0,93.0,53.0,74.0,217.0,1.0,20.0,18.0,7.0,4.0,,1.0,13.0,47.0,69.0,6.0,,54.0,424.0,1.0,,4.0,1.0,82.0,3.0,164.0,95.0,1.0,333.0,104.0,310.0,161.0,,30.0,3.0,,4.0,19.0,6305.0,2083.0,1131.0,5168.0,5.0,,25.0,45.0,258.0,,97.0,244.0,24.0,43.0,29.0,15.0,,3.0,96.0,116.0,224.0,,6.0,2.0,25706.0
Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,9.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,20.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,12.0
Denton,2.0,16.0,3.0,1.0,6.0,54.0,45.0,,29.0,,96.0,17.0,19.0,,88.0,119.0,10.0,14.0,180.0,1.0,48.0,60.0,156.0,5.0,10.0,35.0,121.0,,1.0,1.0,3.0,10.0,60.0,2.0,139.0,215.0,,7.0,261.0,175.0,,1.0,,2.0,41.0,2.0,1.0,57.0,24.0,26.0,136.0,9.0,146.0,398.0,,,,3.0,13.0,6.0,,8.0,2.0,,,,,61.0,124.0,19.0,,7.0,16.0,3.0,4.0,5.0,,,2.0,25.0,73.0,290.0,4.0,110.0,34.0,19.0,3.0,,27.0,8.0,9.0,7.0,5.0,9.0,38.0,12.0,44.0,20.0,,,5.0,7.0,46.0,27.0,30.0,109.0,,10.0,9.0,6.0,5.0,1.0,,8.0,35.0,46.0,6.0,,28.0,311.0,,,,1.0,48.0,,67.0,32.0,,122.0,116.0,133.0,126.0,,10.0,,,2.0,14.0,4263.0,1052.0,805.0,5058.0,2.0,,15.0,24.0,138.0,4.0,68.0,211.0,13.0,24.0,19.0,5.0,,3.0,38.0,58.0,120.0,,,,17142.0
Dewitt,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,23.0
Dickens,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
Duval,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,7.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,19.0
Ector,,,,,,,,,1.0,,,,,,10.0,4.0,,,7.0,,1.0,,1.0,,,3.0,1.0,,,,,,3.0,,4.0,2.0,,,9.0,5.0,,,,,,,,2.0,1.0,1.0,8.0,,,16.0,,,,,1.0,3.0,,,,,,,,3.0,5.0,2.0,,,,,,,,,,,11.0,11.0,,4.0,,1.0,,,,,,,,,6.0,2.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,51.0,15.0,7.0,38.0,,,,,7.0,,2.0,3.0,,,,,,,,1.0,1.0,,,,265.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0
El Paso,,1.0,,,5.0,15.0,11.0,,4.0,,22.0,9.0,17.0,,37.0,34.0,4.0,7.0,40.0,1.0,25.0,22.0,39.0,1.0,,14.0,18.0,,,,,10.0,22.0,,43.0,67.0,,9.0,103.0,64.0,,,,,17.0,,,23.0,43.0,14.0,57.0,3.0,63.0,118.0,,,,2.0,6.0,3.0,1.0,2.0,,,1.0,3.0,,18.0,52.0,24.0,2.0,4.0,5.0,,4.0,2.0,,,,6.0,53.0,145.0,,33.0,15.0,7.0,5.0,,6.0,3.0,5.0,3.0,7.0,6.0,13.0,4.0,7.0,7.0,,,3.0,2.0,7.0,1.0,6.0,18.0,,2.0,4.0,,2.0,,,7.0,5.0,13.0,1.0,,39.0,114.0,,,,,5.0,,21.0,5.0,,43.0,,8.0,6.0,,13.0,,,4.0,5.0,973.0,167.0,117.0,623.0,,,7.0,9.0,54.0,1.0,28.0,90.0,6.0,12.0,5.0,1.0,,1.0,15.0,24.0,23.0,,,,3926.0
Ellis,,1.0,,,,3.0,3.0,,1.0,,8.0,4.0,,,7.0,9.0,,2.0,11.0,,3.0,3.0,12.0,1.0,,7.0,5.0,,,,,5.0,5.0,1.0,16.0,29.0,,,39.0,12.0,,,,,1.0,,,9.0,1.0,9.0,18.0,1.0,19.0,40.0,,1.0,,2.0,3.0,1.0,1.0,,,,,,,3.0,9.0,1.0,,1.0,,,,,,,1.0,1.0,9.0,33.0,,11.0,4.0,1.0,1.0,,1.0,1.0,,3.0,,1.0,1.0,1.0,3.0,5.0,,,,1.0,1.0,1.0,1.0,6.0,,1.0,,,,,,,2.0,5.0,,,5.0,20.0,,,,,2.0,,,4.0,,5.0,,8.0,4.0,,1.0,,,1.0,,289.0,79.0,43.0,177.0,,,2.0,,14.0,,5.0,20.0,2.0,,1.0,1.0,,,,3.0,6.0,,,,1094.0
Erath,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,2.0,1.0,,2.0,4.0,,,3.0,2.0,,,,,1.0,,,2.0,1.0,1.0,,,4.0,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,15.0,5.0,2.0,7.0,,,,,3.0,,1.0,,2.0,,,,,,,,,,,,78.0
Falls,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,9.0
Fannin,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,2.0,3.0,,,6.0,1.0,,,,,,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,4.0,2.0,8.0,,,,,2.0,,,,,,,,,,,,2.0,,,,70.0
Fayette,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,3.0,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,9.0,,,,,,,,,,,,,,,,1.0,1.0,,,,51.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,9.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0
Fort Bend,2.0,7.0,4.0,,8.0,60.0,19.0,,32.0,,96.0,40.0,20.0,,60.0,71.0,10.0,13.0,119.0,1.0,27.0,41.0,115.0,7.0,7.0,41.0,61.0,,1.0,,1.0,12.0,51.0,2.0,93.0,83.0,,6.0,118.0,142.0,,,3.0,1.0,4.0,4.0,,25.0,17.0,22.0,113.0,2.0,58.0,268.0,,,,1.0,8.0,5.0,,2.0,4.0,,,,,66.0,91.0,40.0,2.0,1.0,4.0,,3.0,1.0,,,,12.0,50.0,208.0,2.0,73.0,29.0,12.0,1.0,,10.0,7.0,3.0,6.0,5.0,15.0,27.0,9.0,27.0,12.0,,,7.0,4.0,69.0,25.0,51.0,141.0,,8.0,19.0,3.0,7.0,1.0,,5.0,15.0,24.0,,,45.0,148.0,,,,1.0,31.0,,46.0,25.0,,102.0,2.0,78.0,56.0,,6.0,,,2.0,6.0,3462.0,834.0,735.0,4286.0,1.0,,7.0,23.0,68.0,1.0,48.0,169.0,2.0,9.0,14.0,2.0,,1.0,15.0,27.0,66.0,,,,13320.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,6.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,1.0,,,,,21.0
Freestone,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,7.0,3.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,32.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,18.0
Gains,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,4.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,23.0
Galveston,,,,,,6.0,7.0,,4.0,,15.0,3.0,2.0,,15.0,13.0,,2.0,25.0,,7.0,13.0,17.0,,,5.0,13.0,,,,2.0,3.0,18.0,,23.0,43.0,,1.0,58.0,20.0,,,,1.0,2.0,,,15.0,8.0,6.0,47.0,,24.0,56.0,,3.0,,4.0,3.0,3.0,,,,,,,,10.0,15.0,3.0,3.0,,2.0,,,,,,,3.0,20.0,82.0,,11.0,19.0,10.0,1.0,,2.0,2.0,3.0,,1.0,,8.0,8.0,10.0,4.0,,,,2.0,4.0,2.0,8.0,18.0,,,1.0,,4.0,,,2.0,6.0,5.0,,,3.0,31.0,,,,,5.0,,4.0,5.0,,15.0,172.0,13.0,14.0,,2.0,1.0,,,4.0,463.0,163.0,75.0,389.0,,,5.0,5.0,30.0,,19.0,37.0,2.0,5.0,3.0,3.0,,,10.0,5.0,7.0,,,,2246.0
Garza,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Gillespie,,,,,,,1.0,,,,2.0,1.0,,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,2.0,3.0,,,5.0,3.0,,,,,,,,2.0,,4.0,6.0,,4.0,6.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,6.0,,1.0,,,,,,,,2.0,,,3.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,1.0,,1.0,,3.0,3.0,,,,,,,32.0,11.0,12.0,26.0,,,1.0,,4.0,,2.0,1.0,,1.0,,,,,,2.0,2.0,,,,171.0
Goliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,5.0,1.0,,5.0,,,,,2.0,,,,,,,,,,,,,,,,25.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,24.0
