County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,15.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0
Collin,,10.0,7.0,1.0,13.0,106.0,64.0,,50.0,,175.0,54.0,52.0,,133.0,178.0,11.0,30.0,275.0,5.0,61.0,81.0,227.0,15.0,9.0,36.0,163.0,,,1.0,5.0,9.0,91.0,,212.0,236.0,,11.0,342.0,294.0,,,,,48.0,3.0,5.0,51.0,29.0,29.0,149.0,15.0,162.0,475.0,,1.0,,6.0,13.0,4.0,,19.0,11.0,,,2.0,127.0,125.0,49.0,7.0,7.0,14.0,5.0,7.0,2.0,,,,25.0,116.0,340.0,2.0,138.0,5.0,49.0,34.0,3.0,32.0,11.0,18.0,11.0,32.0,26.0,49.0,9.0,,77.0,37.0,1.0,,6.0,9.0,62.0,38.0,53.0,127.0,,20.0,30.0,4.0,8.0,1.0,,13.0,21.0,46.0,10.0,,55.0,393.0,,,,,50.0,,84.0,50.0,,179.0,263.0,180.0,108.0,,,15.0,,,3.0,32.0,1.0,6487.0,1516.0,1209.0,8244.0,6.0,,19.0,54.0,237.0,2.0,99.0,317.0,17.0,33.0,25.0,5.0,,3.0,60.0,75.0,175.0,,,,25781.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,3.0,2.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,8.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,,1.0,,,,54.0
Comal,,3.0,,,1.0,12.0,11.0,,11.0,,17.0,15.0,4.0,,12.0,11.0,1.0,1.0,26.0,,8.0,6.0,16.0,,,1.0,3.0,,,,2.0,1.0,10.0,,21.0,41.0,,2.0,42.0,37.0,,,,,2.0,2.0,,16.0,1.0,6.0,48.0,,21.0,43.0,,,,4.0,1.0,4.0,,,,,,,7.0,10.0,4.0,1.0,3.0,7.0,2.0,,,,,,2.0,14.0,62.0,,5.0,,4.0,3.0,,5.0,1.0,3.0,2.0,4.0,2.0,15.0,4.0,,3.0,4.0,,,1.0,2.0,5.0,,,7.0,,1.0,1.0,,1.0,,,2.0,6.0,5.0,,,9.0,16.0,,,,,6.0,,5.0,5.0,,5.0,,20.0,15.0,,,5.0,,,1.0,3.0,,447.0,132.0,72.0,379.0,1.0,,2.0,6.0,30.0,,19.0,17.0,1.0,2.0,3.0,1.0,,,10.0,11.0,13.0,,,,1897.0
Comanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,15.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
Cooke,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,2.0,,3.0,,,,5.0,2.0,,,,,1.0,,,1.0,,3.0,2.0,,6.0,6.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,4.0,,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,3.0,,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,18.0,12.0,8.0,11.0,,,,,2.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,116.0
Coryell,1.0,,,,,,,,,,2.0,,,,6.0,3.0,1.0,,,,1.0,3.0,,,,,,,,,,,1.0,,3.0,3.0,,,12.0,7.0,,,,,,,,2.0,1.0,1.0,,,9.0,3.0,,,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,7.0,8.0,,1.0,,5.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,1.0,,42.0,5.0,4.0,23.0,,,,1.0,3.0,,,2.0,,,1.0,,,,,1.0,2.0,,,,188.0
Crockett,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,5.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,15.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,14.0
Dallas,5.0,27.0,3.0,,25.0,121.0,121.0,2.0,75.0,1.0,194.0,63.0,62.0,1.0,180.0,230.0,11.0,42.0,377.0,4.0,110.0,127.0,265.0,23.0,22.0,60.0,176.0,,4.0,3.0,8.0,21.0,166.0,1.0,279.0,522.0,2.0,8.0,455.0,302.0,,,,3.0,68.0,9.0,7.0,85.0,106.0,86.0,172.0,8.0,173.0,783.0,1.0,,1.0,8.0,19.0,14.0,2.0,34.0,9.0,,2.0,4.0,96.0,222.0,44.0,6.0,9.0,96.0,3.0,8.0,5.0,,1.0,,40.0,425.0,599.0,3.0,176.0,2.0,164.0,47.0,11.0,23.0,16.0,16.0,34.0,33.0,34.0,37.0,15.0,,108.0,27.0,,1.0,6.0,17.0,96.0,63.0,80.0,221.0,2.0,19.0,23.0,7.0,4.0,,1.0,14.0,49.0,71.0,6.0,,66.0,429.0,1.0,,4.0,1.0,84.0,3.0,159.0,98.0,2.0,359.0,104.0,355.0,168.0,2.0,,30.0,3.0,,4.0,21.0,1.0,6427.0,2086.0,1148.0,5397.0,6.0,,27.0,46.0,259.0,,107.0,256.0,24.0,42.0,31.0,15.0,,4.0,103.0,122.0,234.0,,5.0,2.0,26907.0
Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,8.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,22.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,13.0
Denton,2.0,16.0,3.0,1.0,8.0,58.0,49.0,,33.0,,96.0,17.0,19.0,,91.0,115.0,9.0,13.0,195.0,1.0,49.0,59.0,166.0,14.0,15.0,35.0,136.0,,1.0,1.0,3.0,9.0,82.0,2.0,139.0,226.0,,7.0,263.0,188.0,,1.0,,2.0,41.0,2.0,4.0,57.0,22.0,27.0,139.0,9.0,145.0,402.0,,,,3.0,14.0,13.0,,8.0,2.0,,,,60.0,126.0,20.0,,6.0,16.0,3.0,5.0,5.0,,,2.0,24.0,79.0,296.0,4.0,102.0,5.0,37.0,19.0,3.0,29.0,8.0,9.0,7.0,5.0,19.0,38.0,12.0,,46.0,24.0,,,4.0,7.0,49.0,30.0,39.0,114.0,,10.0,9.0,6.0,5.0,,,9.0,32.0,48.0,6.0,,30.0,318.0,,,,1.0,52.0,,66.0,31.0,,127.0,116.0,146.0,127.0,,,10.0,,,2.0,15.0,1.0,4399.0,1067.0,827.0,5263.0,2.0,,15.0,25.0,139.0,4.0,72.0,218.0,13.0,21.0,22.0,5.0,,3.0,41.0,59.0,129.0,,,,17755.0
Dewitt,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,24.0
Dickens,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Duval,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,7.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,20.0
Ector,,,,,,,,,1.0,,,,,,9.0,4.0,,,7.0,,1.0,,1.0,,,3.0,1.0,,,,,,3.0,,4.0,2.0,,,9.0,5.0,,,,,,,,2.0,1.0,1.0,7.0,,,16.0,,,,,2.0,3.0,,,,,,,3.0,5.0,2.0,,,,,,,,,,,12.0,10.0,,4.0,,,1.0,,,,,,,,6.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,49.0,15.0,7.0,42.0,,,,1.0,6.0,,1.0,3.0,,,,,,,,1.0,1.0,,,,265.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0
El Paso,,1.0,,,6.0,17.0,14.0,,5.0,1.0,23.0,9.0,16.0,,38.0,33.0,4.0,7.0,39.0,4.0,22.0,20.0,43.0,1.0,3.0,14.0,18.0,,,,,10.0,31.0,,46.0,66.0,,9.0,103.0,74.0,,,,,17.0,,,22.0,45.0,14.0,61.0,3.0,63.0,122.0,,,,2.0,6.0,3.0,1.0,2.0,,,1.0,3.0,17.0,48.0,27.0,2.0,4.0,6.0,,4.0,2.0,,,,6.0,85.0,163.0,,33.0,,15.0,8.0,5.0,7.0,3.0,6.0,4.0,6.0,8.0,13.0,4.0,,7.0,10.0,,,3.0,2.0,7.0,1.0,7.0,19.0,,2.0,4.0,,2.0,,,7.0,5.0,14.0,1.0,,42.0,118.0,,,,,6.0,,21.0,4.0,,44.0,,12.0,8.0,,,13.0,,,4.0,5.0,,1004.0,170.0,122.0,658.0,,,9.0,8.0,56.0,1.0,30.0,93.0,6.0,13.0,5.0,1.0,,1.0,18.0,27.0,25.0,,,,4133.0
Ellis,,1.0,,,,3.0,3.0,,1.0,,8.0,4.0,,,7.0,9.0,,1.0,11.0,,3.0,3.0,13.0,3.0,,8.0,6.0,,,,,4.0,9.0,1.0,16.0,27.0,,,41.0,14.0,,,,,1.0,,,9.0,1.0,9.0,20.0,1.0,19.0,44.0,,1.0,,2.0,3.0,,1.0,,,,,,3.0,9.0,2.0,,1.0,,,,,,,1.0,1.0,9.0,34.0,,11.0,,5.0,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,3.0,5.0,,,,1.0,2.0,1.0,1.0,6.0,,1.0,,,,,,,2.0,5.0,,,6.0,20.0,,,,,3.0,,,4.0,,7.0,,7.0,4.0,,,2.0,,,1.0,,,299.0,78.0,45.0,183.0,1.0,,3.0,,13.0,,4.0,20.0,1.0,1.0,1.0,1.0,,,,3.0,5.0,,,,1132.0
Erath,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,2.0,1.0,,2.0,4.0,,,3.0,2.0,,,,,1.0,,,2.0,1.0,1.0,4.0,,3.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,3.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,16.0,5.0,2.0,7.0,,,,,3.0,,1.0,,2.0,,,,,,,,,,,,85.0
Falls,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,9.0
Fannin,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,3.0,,,6.0,1.0,,,,,,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,18.0,4.0,2.0,9.0,,,,,2.0,,,,,,,,,,,,2.0,,,,71.0
Fayette,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,3.0,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,12.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,55.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,9.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
Fort Bend,4.0,7.0,4.0,1.0,9.0,61.0,18.0,,39.0,,96.0,44.0,19.0,,60.0,74.0,10.0,12.0,125.0,3.0,29.0,40.0,125.0,14.0,10.0,40.0,72.0,,1.0,,1.0,11.0,73.0,2.0,91.0,88.0,1.0,6.0,120.0,145.0,,,3.0,1.0,4.0,4.0,1.0,25.0,16.0,24.0,117.0,2.0,55.0,265.0,,,,1.0,8.0,10.0,,2.0,4.0,,,,67.0,93.0,43.0,2.0,1.0,4.0,1.0,3.0,1.0,,,,12.0,53.0,212.0,2.0,74.0,6.0,31.0,13.0,1.0,12.0,7.0,4.0,8.0,5.0,22.0,29.0,9.0,,27.0,15.0,,,7.0,4.0,76.0,25.0,57.0,137.0,,7.0,22.0,3.0,7.0,1.0,,5.0,14.0,24.0,,,50.0,151.0,,,,1.0,34.0,,46.0,28.0,,111.0,2.0,93.0,58.0,,,6.0,,,2.0,7.0,,3563.0,828.0,744.0,4547.0,,,7.0,22.0,70.0,1.0,56.0,185.0,2.0,9.0,17.0,2.0,,1.0,16.0,28.0,71.0,,,,13901.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,22.0
Freestone,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,31.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,18.0
Gains,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,4.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,26.0
Galveston,,,,,,6.0,7.0,,5.0,,13.0,4.0,2.0,,16.0,12.0,,2.0,27.0,,8.0,11.0,18.0,1.0,,5.0,15.0,,,,2.0,2.0,22.0,,26.0,46.0,,1.0,58.0,21.0,,,,1.0,2.0,,,14.0,8.0,6.0,48.0,,23.0,59.0,,3.0,,4.0,2.0,3.0,,,,,,,10.0,18.0,3.0,3.0,,2.0,,,,,,,3.0,20.0,79.0,,12.0,2.0,19.0,10.0,1.0,2.0,2.0,3.0,,2.0,,8.0,8.0,,11.0,4.0,,,,2.0,4.0,2.0,8.0,18.0,,,1.0,,4.0,,,2.0,7.0,5.0,,,3.0,31.0,,,,,6.0,,5.0,5.0,,18.0,192.0,14.0,15.0,,,2.0,1.0,,,5.0,,478.0,163.0,79.0,413.0,,,7.0,5.0,29.0,,20.0,38.0,2.0,5.0,3.0,3.0,,,10.0,6.0,7.0,,,,2343.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Gillespie,,,,,,,2.0,,,,2.0,1.0,,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,2.0,3.0,,,4.0,3.0,,,,,,,,2.0,,4.0,6.0,,4.0,7.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,6.0,,1.0,,,,,1.0,,,2.0,,,3.0,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,1.0,,1.0,,3.0,3.0,,,,,,,,,33.0,12.0,12.0,26.0,,,1.0,,4.0,,2.0,1.0,,1.0,,,,,,2.0,2.0,,,,175.0
Goliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,4.0
