County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Bastrop,,,,,,2.0,,1.0,2.0,2.0,1.0,,,,3.0,1.0,,5.0,4.0,,,1.0,1.0,4.0,4.0,,,,,,2.0,1.0,8.0,29.0,,,,15.0,8.0,,,,,,3.0,,,1.0,8.0,4.0,22.0,,9.0,32.0,,9.0,,1.0,,,,,,1.0,,,4.0,1.0,1.0,5.0,,,1.0,,,,,,,5.0,11.0,,5.0,2.0,16.0,,,3.0,,,,,1.0,,,,,,2.0,,,,,3.0,,,,,,,,,,1.0,1.0,,,,1.0,17.0,,,,2.0,,,3.0,,,4.0,8.0,,,,,,1.0,9.0,190.0,37.0,21.0,154.0,,,3.0,2.0,16.0,,7.0,,,13.0,,1.0,1.0,,,2.0,5.0,1.0,,,,744.0
Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bee,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,6.0,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,7.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,36.0
Bell,,,,,,4.0,,,3.0,5.0,1.0,,,,17.0,23.0,2.0,17.0,15.0,1.0,2.0,8.0,4.0,3.0,11.0,1.0,,,1.0,2.0,22.0,5.0,12.0,35.0,,1.0,4.0,68.0,58.0,,2.0,,,,9.0,,,,19.0,7.0,23.0,2.0,31.0,51.0,,5.0,,,,,1.0,,4.0,2.0,,,10.0,,2.0,17.0,,14.0,5.0,,2.0,2.0,,,1.0,13.0,76.0,,15.0,7.0,14.0,2.0,6.0,1.0,7.0,,3.0,,,5.0,7.0,,3.0,,10.0,,,,3.0,4.0,1.0,4.0,4.0,,,2.0,3.0,1.0,,2.0,1.0,1.0,15.0,,32.0,27.0,,,,7.0,,2.0,1.0,1.0,,8.0,6.0,,,1.0,,1.0,2.0,4.0,402.0,100.0,46.0,333.0,,,4.0,4.0,39.0,,10.0,,2.0,30.0,6.0,7.0,1.0,,2.0,4.0,12.0,14.0,,,,1852.0
Bexar,,6.0,19.0,5.0,2.0,109.0,70.0,40.0,68.0,95.0,52.0,7.0,,1.0,184.0,156.0,12.0,159.0,170.0,32.0,7.0,38.0,83.0,20.0,190.0,8.0,,,4.0,25.0,135.0,14.0,481.0,533.0,1.0,115.0,15.0,376.0,368.0,,2.0,2.0,1.0,3.0,24.0,,1.0,11.0,93.0,61.0,232.0,10.0,142.0,432.0,,48.0,,6.0,11.0,8.0,2.0,8.0,24.0,21.0,,,75.0,3.0,26.0,320.0,3.0,59.0,110.0,5.0,7.0,27.0,,2.0,14.0,355.0,477.0,2.0,342.0,17.0,588.0,2.0,40.0,18.0,9.0,21.0,25.0,67.0,3.0,51.0,33.0,,30.0,,35.0,,,5.0,6.0,37.0,25.0,31.0,71.0,,,7.0,22.0,4.0,,8.0,31.0,6.0,51.0,,71.0,380.0,,,,527.0,2.0,46.0,32.0,95.0,34.0,119.0,101.0,1.0,,22.0,,5.0,21.0,81.0,5048.0,943.0,578.0,3837.0,1.0,,71.0,39.0,267.0,1.0,132.0,,16.0,223.0,100.0,20.0,3.0,1.0,5.0,320.0,73.0,112.0,,,,21139.0
Blanco,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,6.0,,,,5.0,1.0,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,1.0,1.0,5.0,,,,,1.0,1.0,,,,,2.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,2.0,3.0,,,,,,1.0,1.0,18.0,4.0,4.0,22.0,,,,1.0,1.0,,,,,2.0,,,,,,,2.0,,,,,104.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bosque,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,3.0,,,,4.0,1.0,,,,,,1.0,,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,1.0,6.0,2.0,,6.0,,,,,2.0,,,,,2.0,,,,,,,1.0,,,,,49.0
Bowie,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,2.0,1.0,7.0,,,,7.0,,,,,,,,,,1.0,1.0,4.0,5.0,,4.0,6.0,,,,,,,,,1.0,1.0,,,2.0,,1.0,3.0,,,,,,,,,,4.0,13.0,,3.0,2.0,2.0,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,2.0,5.0,,,,,,,,1.0,,3.0,1.0,,,,,,,1.0,47.0,8.0,6.0,26.0,,,,2.0,4.0,,4.0,,,2.0,,,,,,,2.0,,,,,198.0
Brazoria,,2.0,,,,21.0,6.0,7.0,12.0,9.0,14.0,1.0,,2.0,10.0,19.0,4.0,20.0,31.0,5.0,4.0,13.0,14.0,3.0,27.0,,,,2.0,1.0,52.0,5.0,32.0,54.0,,,2.0,46.0,40.0,,,,,,3.0,,,3.0,8.0,9.0,39.0,2.0,32.0,91.0,,9.0,,,,3.0,,,3.0,4.0,,,18.0,2.0,3.0,45.0,,7.0,5.0,1.0,1.0,,,1.0,2.0,25.0,71.0,2.0,20.0,9.0,16.0,2.0,7.0,3.0,1.0,2.0,4.0,3.0,,8.0,4.0,,2.0,,10.0,,,,3.0,11.0,9.0,18.0,27.0,1.0,,1.0,4.0,4.0,,,1.0,,5.0,,14.0,44.0,,,,10.0,,6.0,4.0,19.0,17.0,14.0,19.0,,,1.0,,,1.0,10.0,781.0,168.0,117.0,882.0,,,11.0,5.0,24.0,,17.0,,1.0,58.0,5.0,3.0,1.0,,1.0,6.0,5.0,15.0,,,,3281.0
Brazos,,1.0,1.0,1.0,,6.0,2.0,2.0,,1.0,1.0,,,,10.0,14.0,,3.0,10.0,1.0,,,10.0,4.0,13.0,1.0,,,,1.0,4.0,,17.0,19.0,,,1.0,42.0,36.0,,,,,,2.0,,1.0,1.0,13.0,4.0,21.0,,19.0,32.0,,6.0,,,,1.0,,,2.0,2.0,,,8.0,,3.0,17.0,,18.0,5.0,1.0,1.0,,,,,13.0,44.0,,18.0,3.0,11.0,3.0,3.0,,7.0,1.0,1.0,,,5.0,,,,,8.0,,,,,3.0,1.0,6.0,12.0,,,1.0,2.0,,,1.0,4.0,,4.0,,10.0,19.0,,,,5.0,,2.0,,4.0,,11.0,11.0,,,1.0,,2.0,4.0,4.0,261.0,65.0,37.0,224.0,,,4.0,2.0,22.0,,11.0,,,10.0,4.0,4.0,,,,1.0,7.0,7.0,,,,1241.0
Brewster,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,22.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0
Brown,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,4.0,2.0,,,,,,,,,,1.0,1.0,3.0,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,1.0,5.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,46.0
Burleson,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0,2.0,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,32.0
Burnet,,,,,,,3.0,,,1.0,,,,,1.0,1.0,,3.0,1.0,,,,,,3.0,,,,,1.0,4.0,1.0,5.0,5.0,,,1.0,12.0,4.0,,,,,,1.0,,,1.0,5.0,2.0,14.0,,5.0,7.0,,,,,,,,,,,,,4.0,,,3.0,,4.0,1.0,,,,,,,,14.0,1.0,,,,,2.0,,,,,,,3.0,2.0,,,,1.0,,,,,,,1.0,3.0,,,1.0,1.0,,,,,,1.0,,1.0,8.0,,,,1.0,,2.0,1.0,1.0,,2.0,3.0,,,,,1.0,,1.0,64.0,35.0,17.0,59.0,,,,1.0,12.0,,2.0,,,6.0,1.0,1.0,1.0,,,,2.0,3.0,,,,348.0
Caldwell,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,2.0,,2.0,8.0,,,,5.0,3.0,,,,,,2.0,,,,1.0,1.0,1.0,,5.0,9.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,1.0,2.0,4.0,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,5.0,,,,,,,,,,,1.0,,,,,,,3.0,25.0,7.0,2.0,26.0,,,,,2.0,,2.0,,1.0,,,,,,,,,2.0,,,,141.0
Calhoun,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,13.0,,,8.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,39.0
Callahan,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,30.0
Cameron,,2.0,1.0,,,1.0,,5.0,2.0,3.0,,,1.0,,6.0,13.0,1.0,12.0,13.0,1.0,1.0,7.0,2.0,1.0,10.0,2.0,,,1.0,2.0,36.0,3.0,14.0,22.0,1.0,1.0,1.0,26.0,19.0,,1.0,,,,,,,,7.0,5.0,36.0,1.0,6.0,48.0,,12.0,,1.0,1.0,,,,2.0,6.0,,,5.0,2.0,1.0,12.0,,19.0,5.0,,,,,,1.0,18.0,75.0,,6.0,1.0,11.0,,1.0,1.0,2.0,3.0,1.0,1.0,,4.0,1.0,,2.0,,3.0,,1.0,,,3.0,,3.0,3.0,,,,2.0,1.0,,,,1.0,10.0,,15.0,22.0,,,,1.0,,3.0,1.0,5.0,,4.0,3.0,,,1.0,,,1.0,15.0,473.0,73.0,54.0,260.0,,,6.0,1.0,17.0,,15.0,,,15.0,1.0,,1.0,,,2.0,2.0,5.0,,,,1531.0
Camp,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,16.0
Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,8.0
Cass,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,3.0,,,,3.0,4.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,7.0,4.0,,5.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,52.0
Castro,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,10.0
Chambers,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,2.0,,1.0,1.0,,,,,,1.0,1.0,3.0,4.0,,,,2.0,4.0,,,,,,,,,1.0,1.0,1.0,11.0,,1.0,4.0,,,,,,,,,,1.0,,,2.0,,,1.0,,3.0,1.0,,,,,,,4.0,9.0,,1.0,,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,3.0,,2.0,,,,,,,,1.0,66.0,14.0,5.0,38.0,,,1.0,,1.0,,1.0,,,2.0,,,,,,2.0,,2.0,,,,211.0
