County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Bastrop,,,,,,2.0,2.0,,2.0,,2.0,,1.0,3.0,2.0,,3.0,3.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,,4.0,2.0,9.0,24.0,,,15.0,9.0,,,,,2.0,,1.0,7.0,9.0,3.0,24.0,,11.0,33.0,,,,1.0,,1.0,,,,,,,4.0,7.0,,,1.0,1.0,,,,,,,,3.0,13.0,,5.0,3.0,11.0,4.0,,1.0,3.0,,,,,1.0,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,17.0,,,,3.0,,,4.0,,,,4.0,8.0,,,,,,,1.0,13.0,192.0,41.0,23.0,182.0,,,4.0,2.0,15.0,,6.0,,12.0,,,2.0,1.0,,,2.0,5.0,1.0,,,,786.0
Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bee,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,6.0,,,,,,,,,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,1.0,10.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,42.0
Bell,,,,,,2.0,6.0,,1.0,,4.0,,,15.0,25.0,2.0,3.0,12.0,1.0,7.0,10.0,15.0,2.0,2.0,6.0,5.0,,,,,1.0,1.0,23.0,7.0,15.0,33.0,1.0,3.0,69.0,56.0,,2.0,,,9.0,,,20.0,5.0,6.0,26.0,2.0,31.0,57.0,,1.0,,,5.0,3.0,,,1.0,,,1.0,10.0,20.0,16.0,1.0,1.0,5.0,,3.0,2.0,10.0,,,1.0,15.0,79.0,,20.0,9.0,7.0,9.0,2.0,7.0,1.0,8.0,,3.0,1.0,,5.0,8.0,,3.0,14.0,,,,3.0,5.0,2.0,5.0,4.0,,1.0,4.0,,1.0,,,,2.0,1.0,17.0,1.0,,32.0,28.0,,,,7.0,,1.0,1.0,,,,8.0,9.0,,,1.0,,,1.0,4.0,12.0,450.0,105.0,50.0,375.0,,,5.0,5.0,36.0,,10.0,,25.0,2.0,6.0,7.0,1.0,,3.0,4.0,15.0,15.0,,,,2020.0
Bexar,6.0,19.0,5.0,2.0,14.0,47.0,89.0,3.0,53.0,7.0,112.0,67.0,44.0,182.0,149.0,10.0,19.0,185.0,9.0,56.0,100.0,199.0,37.0,8.0,35.0,75.0,,,1.0,,5.0,24.0,170.0,39.0,371.0,520.0,117.0,17.0,370.0,374.0,,3.0,,3.0,23.0,,12.0,96.0,48.0,66.0,225.0,11.0,148.0,447.0,,1.0,,6.0,29.0,34.0,11.0,13.0,2.0,8.0,,,78.0,341.0,65.0,13.0,12.0,111.0,5.0,7.0,28.0,,2.0,2.0,12.0,356.0,507.0,2.0,360.0,31.0,593.0,38.0,3.0,44.0,18.0,13.0,22.0,28.0,46.0,3.0,59.0,36.0,,34.0,39.0,,,5.0,6.0,37.0,25.0,33.0,67.0,3.0,7.0,27.0,,4.0,,1.0,,7.0,34.0,51.0,7.0,,86.0,380.0,,,,408.0,2.0,49.0,35.0,,92.0,58.0,118.0,105.0,2.0,,21.0,,,5.0,26.0,161.0,5030.0,942.0,597.0,4234.0,1.0,,90.0,37.0,267.0,2.0,146.0,,229.0,17.0,97.0,21.0,3.0,1.0,7.0,292.0,77.0,119.0,,,9.0,21714.0
Blanco,,,,,,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,3.0,5.0,,,6.0,1.0,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,1.0,,4.0,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,2.0,3.0,,,,,,,1.0,1.0,18.0,4.0,4.0,23.0,,,,1.0,1.0,,,,2.0,,,,,,,,2.0,,,,,106.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bosque,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,4.0,1.0,,,,,1.0,,,,,,1.0,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,1.0,6.0,2.0,,6.0,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,47.0
Bowie,,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,3.0,1.0,7.0,,,7.0,1.0,,,,,,,1.0,1.0,1.0,2.0,4.0,,5.0,6.0,,,,,1.0,1.0,,,,,,,2.0,4.0,,,1.0,,,,,,,,,4.0,14.0,,3.0,2.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,3.0,5.0,,,,,,,,,,,3.0,1.0,,,,,,,1.0,2.0,48.0,8.0,7.0,25.0,,,,2.0,3.0,,5.0,,2.0,,,,,,,,2.0,,,,,205.0
Brazoria,2.0,,1.0,,2.0,7.0,7.0,,14.0,1.0,21.0,8.0,9.0,9.0,20.0,4.0,2.0,26.0,2.0,9.0,7.0,39.0,5.0,6.0,13.0,14.0,,,2.0,,2.0,1.0,58.0,9.0,30.0,55.0,,2.0,47.0,40.0,,,,,3.0,,3.0,8.0,9.0,9.0,51.0,1.0,32.0,95.0,,,,,4.0,5.0,,3.0,1.0,,,,18.0,51.0,11.0,1.0,2.0,6.0,1.0,1.0,1.0,,1.0,,2.0,21.0,74.0,2.0,25.0,12.0,10.0,6.0,2.0,7.0,3.0,1.0,2.0,4.0,1.0,,8.0,3.0,,4.0,11.0,,,,3.0,10.0,8.0,20.0,27.0,2.0,1.0,4.0,,3.0,1.0,,,,2.0,6.0,,,14.0,44.0,,,,7.0,,5.0,4.0,,17.0,20.0,14.0,17.0,,,1.0,,,,1.0,22.0,804.0,173.0,114.0,968.0,,,12.0,6.0,24.0,,17.0,,55.0,1.0,5.0,4.0,1.0,,2.0,7.0,7.0,16.0,,,,3458.0
Brazos,1.0,1.0,1.0,,,,1.0,,1.0,,6.0,1.0,2.0,9.0,14.0,,4.0,15.0,1.0,3.0,,12.0,1.0,,,9.0,,,,,,1.0,6.0,,15.0,20.0,1.0,1.0,41.0,41.0,,,,,3.0,1.0,1.0,13.0,6.0,4.0,26.0,,19.0,43.0,,,,,2.0,2.0,,1.0,,,,,8.0,22.0,21.0,,3.0,6.0,1.0,1.0,,,,,,13.0,44.0,,21.0,7.0,6.0,4.0,3.0,3.0,,8.0,2.0,1.0,,,5.0,1.0,,,8.0,,,,,4.0,1.0,6.0,12.0,,1.0,2.0,,,,1.0,,1.0,4.0,4.0,,,9.0,18.0,,,,5.0,,2.0,,,2.0,,10.0,10.0,,,1.0,,,2.0,3.0,10.0,274.0,61.0,38.0,239.0,,,5.0,2.0,24.0,,13.0,,11.0,,3.0,4.0,,,,1.0,9.0,8.0,,,,1317.0
Brewster,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,24.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0
Brown,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,4.0,2.0,,,,,,,,1.0,,,3.0,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,6.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,43.0
Burleson,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,11.0,2.0,1.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,36.0
Burnet,,,,,,,1.0,,,,,3.0,,1.0,1.0,,,3.0,,1.0,2.0,2.0,,,,,,,,,,1.0,7.0,2.0,4.0,6.0,1.0,1.0,10.0,4.0,,,,,1.0,,1.0,5.0,,2.0,14.0,,5.0,8.0,,,,1.0,,1.0,,,,,,,3.0,3.0,4.0,,,1.0,,,,,,,,,15.0,1.0,,,,,,2.0,,,,,,,3.0,3.0,,,1.0,,,,,,,1.0,3.0,,1.0,1.0,,,,,,,,2.0,,,1.0,7.0,,,,1.0,,2.0,1.0,,1.0,,2.0,3.0,,,,,,1.0,,2.0,69.0,37.0,18.0,62.0,,,,1.0,12.0,,2.0,,7.0,,1.0,1.0,1.0,,,,2.0,4.0,,,,370.0
Caldwell,,,,,,,,,,,1.0,,,,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,2.0,1.0,1.0,8.0,,,5.0,3.0,,,,,2.0,,,1.0,,1.0,2.0,,5.0,9.0,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,3.0,,4.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,5.0,,,,,,,,,,,,1.0,,,,,,,,5.0,25.0,7.0,2.0,31.0,,,,,2.0,,2.0,,,1.0,,,,,,,,2.0,,,,151.0
Calhoun,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,13.0,1.0,,8.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,40.0
Callahan,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,31.0
Cameron,2.0,1.0,,,,1.0,3.0,,,,,,4.0,8.0,13.0,1.0,1.0,12.0,3.0,3.0,11.0,12.0,1.0,1.0,6.0,2.0,,1.0,,,1.0,2.0,45.0,3.0,16.0,22.0,1.0,1.0,26.0,18.0,,1.0,,,,,,5.0,11.0,5.0,33.0,1.0,6.0,61.0,,,,1.0,4.0,9.0,1.0,,,,,,5.0,14.0,20.0,1.0,,5.0,,,,,,,1.0,17.0,80.0,,8.0,1.0,3.0,8.0,,1.0,1.0,2.0,3.0,2.0,,,3.0,1.0,,2.0,3.0,,1.0,,,3.0,,4.0,3.0,,,2.0,,,1.0,,,,,8.0,1.0,,18.0,25.0,,,,2.0,,4.0,1.0,,5.0,,4.0,3.0,,,1.0,,,,1.0,32.0,496.0,73.0,53.0,290.0,,,6.0,1.0,17.0,,15.0,,17.0,,,,1.0,,,2.0,2.0,5.0,,,,1637.0
Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,5.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,20.0
Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,9.0
Cass,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,3.0,,,3.0,5.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,8.0,4.0,,7.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,58.0
Castro,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0
Chambers,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,2.0,,,,,,,,1.0,1.0,1.0,5.0,,,1.0,4.0,,,,,,,1.0,1.0,,1.0,9.0,,1.0,5.0,,,,,,1.0,,,,,,,3.0,2.0,4.0,,,1.0,,,,,,,,4.0,8.0,,1.0,,1.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,3.0,,2.0,,,,,,,,,4.0,68.0,15.0,5.0,46.0,,,1.0,,,,1.0,,2.0,,,,,,,2.0,,2.0,,,,222.0
